# JMH version: 1.27
# VM version: JDK 11.0.9, OpenJDK 64-Bit Server VM, 11.0.9+10-jvmci-20.3-b06
# VM invoker: /home/user/Downloads/graalvm-ce-java11-20.3.0/bin/java
# VM options: -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCIProduct -XX:-UnlockExperimentalVMOptions -XX:ThreadPriorityPolicy=1
# JMH blackhole mode: full blackhole + dont-inline hint
Benchmark                       (arraySize)   Mode  Cnt         Score       Error  Units
AdditionBenchmark.kmath                 100  thrpt   10   8014710.594 ± 48185.243  ops/s
AdditionBenchmark.kmath                1000  thrpt   10   1007653.084 ±  6135.179  ops/s
AdditionBenchmark.kmath               10000  thrpt   10    110748.723 ±   295.488  ops/s
AdditionBenchmark.kmath              100000  thrpt   10     10739.618 ±    55.097  ops/s
AdditionBenchmark.kmath             1000000  thrpt   10       641.098 ±     2.356  ops/s
AdditionBenchmark.kmath            10000000  thrpt   10        55.987 ±     0.107  ops/s
AdditionBenchmark.loop                  100  thrpt   10   9112252.286 ± 34891.589  ops/s
AdditionBenchmark.loop                 1000  thrpt   10   1036793.075 ±  5185.734  ops/s
AdditionBenchmark.loop                10000  thrpt   10    110306.282 ±  1183.943  ops/s
AdditionBenchmark.loop               100000  thrpt   10     10467.142 ±    74.282  ops/s
AdditionBenchmark.loop              1000000  thrpt   10       640.937 ±     3.413  ops/s
AdditionBenchmark.loop             10000000  thrpt   10        56.160 ±     0.111  ops/s
AdditionBenchmark.multik                100  thrpt   10   5079804.201 ± 15094.013  ops/s
AdditionBenchmark.multik               1000  thrpt   10    647167.385 ±  1038.471  ops/s
AdditionBenchmark.multik              10000  thrpt   10     68875.846 ±    35.614  ops/s
AdditionBenchmark.multik             100000  thrpt   10      6829.197 ±    35.146  ops/s
AdditionBenchmark.multik            1000000  thrpt   10       563.898 ±     3.675  ops/s
AdditionBenchmark.multik           10000000  thrpt   10        53.324 ±     0.378  ops/s
AdditionBenchmark.viktor                100  thrpt   10   6510651.637 ± 19177.642  ops/s
AdditionBenchmark.viktor               1000  thrpt   10   1015903.462 ±  6938.827  ops/s
AdditionBenchmark.viktor              10000  thrpt   10    110643.277 ±   827.031  ops/s
AdditionBenchmark.viktor             100000  thrpt   10     10703.502 ±   109.084  ops/s
AdditionBenchmark.viktor            1000000  thrpt   10       647.194 ±     2.458  ops/s
AdditionBenchmark.viktor           10000000  thrpt   10        56.078 ±     0.179  ops/s
DotBenchmark.loop                       100  thrpt   10  10663084.200 ± 15660.354  ops/s
DotBenchmark.loop                      1000  thrpt   10    905208.872 ±  1729.265  ops/s
DotBenchmark.loop                     10000  thrpt   10     89232.676 ±   170.429  ops/s
DotBenchmark.loop                    100000  thrpt   10      8909.478 ±    12.524  ops/s
DotBenchmark.loop                   1000000  thrpt   10       793.531 ±     1.442  ops/s
DotBenchmark.loop                  10000000  thrpt   10        78.499 ±     0.121  ops/s
DotBenchmark.multik                     100  thrpt   10   6430194.887 ± 10735.407  ops/s
DotBenchmark.multik                    1000  thrpt   10    704035.871 ±  1138.170  ops/s
DotBenchmark.multik                   10000  thrpt   10     71002.686 ±   112.984  ops/s
DotBenchmark.multik                  100000  thrpt   10      7048.140 ±    15.517  ops/s
DotBenchmark.multik                 1000000  thrpt   10       628.070 ±     0.774  ops/s
DotBenchmark.multik                10000000  thrpt   10        61.882 ±     0.152  ops/s
DotBenchmark.viktor                     100  thrpt   10   6726471.334 ± 12595.286  ops/s
DotBenchmark.viktor                    1000  thrpt   10   2248068.986 ±  2411.307  ops/s
DotBenchmark.viktor                   10000  thrpt   10    280390.645 ±   473.536  ops/s
DotBenchmark.viktor                  100000  thrpt   10     27049.536 ±    68.257  ops/s
DotBenchmark.viktor                 1000000  thrpt   10      1361.865 ±    15.067  ops/s
DotBenchmark.viktor                10000000  thrpt   10       113.395 ±     0.128  ops/s
ExpBenchmark.fastMath                   100  thrpt   10    815360.988 ±  1782.746  ops/s
ExpBenchmark.fastMath                  1000  thrpt   10     82973.606 ±   388.076  ops/s
ExpBenchmark.fastMath                 10000  thrpt   10      8271.867 ±    10.482  ops/s
ExpBenchmark.fastMath                100000  thrpt   10       823.916 ±     3.316  ops/s
ExpBenchmark.fastMath               1000000  thrpt   10        80.870 ±     0.199  ops/s
ExpBenchmark.fastMath              10000000  thrpt   10         8.026 ±     0.021  ops/s
ExpBenchmark.kmath                      100  thrpt   10   1448027.894 ±  2484.209  ops/s
ExpBenchmark.kmath                     1000  thrpt   10    152363.873 ±   230.134  ops/s
ExpBenchmark.kmath                    10000  thrpt   10     15323.773 ±    78.218  ops/s
ExpBenchmark.kmath                   100000  thrpt   10      1531.965 ±     7.046  ops/s
ExpBenchmark.kmath                  1000000  thrpt   10       144.280 ±     0.570  ops/s
ExpBenchmark.kmath                 10000000  thrpt   10        14.714 ±     0.064  ops/s
ExpBenchmark.math                       100  thrpt   10   1475150.730 ±  7550.464  ops/s
ExpBenchmark.math                      1000  thrpt   10    151733.921 ±   197.651  ops/s
ExpBenchmark.math                     10000  thrpt   10     15235.874 ±    46.550  ops/s
ExpBenchmark.math                    100000  thrpt   10      1515.974 ±     6.334  ops/s
ExpBenchmark.math                   1000000  thrpt   10       147.003 ±     0.264  ops/s
ExpBenchmark.math                  10000000  thrpt   10        14.703 ±     0.049  ops/s
ExpBenchmark.multik                     100  thrpt   10    814175.157 ±  2451.205  ops/s
ExpBenchmark.multik                    1000  thrpt   10    101102.810 ±   231.879  ops/s
ExpBenchmark.multik                   10000  thrpt   10     10561.438 ±    22.050  ops/s
ExpBenchmark.multik                  100000  thrpt   10      1062.123 ±     4.347  ops/s
ExpBenchmark.multik                 1000000  thrpt   10       104.473 ±     0.639  ops/s
ExpBenchmark.multik                10000000  thrpt   10        10.428 ±     0.015  ops/s
ExpBenchmark.viktor                     100  thrpt   10   2072832.710 ±  5339.766  ops/s
ExpBenchmark.viktor                    1000  thrpt   10    311791.186 ±   599.467  ops/s
ExpBenchmark.viktor                   10000  thrpt   10     32761.915 ±   178.140  ops/s
ExpBenchmark.viktor                  100000  thrpt   10      3295.029 ±    31.023  ops/s
ExpBenchmark.viktor                 1000000  thrpt   10       321.525 ±     0.908  ops/s
ExpBenchmark.viktor                10000000  thrpt   10        32.296 ±     0.093  ops/s
Expm1Benchmark.fastMath                 100  thrpt   10    452682.215 ±   558.766  ops/s
Expm1Benchmark.fastMath                1000  thrpt   10     45898.772 ±    55.759  ops/s
Expm1Benchmark.fastMath               10000  thrpt   10      4587.718 ±     6.744  ops/s
Expm1Benchmark.fastMath              100000  thrpt   10       457.338 ±     0.876  ops/s
Expm1Benchmark.fastMath             1000000  thrpt   10        45.156 ±     0.082  ops/s
Expm1Benchmark.fastMath            10000000  thrpt   10         4.473 ±     0.010  ops/s
Expm1Benchmark.math                     100  thrpt   10    439129.243 ±  1659.417  ops/s
Expm1Benchmark.math                    1000  thrpt   10     43698.596 ±    49.830  ops/s
Expm1Benchmark.math                   10000  thrpt   10      4328.746 ±    17.471  ops/s
Expm1Benchmark.math                  100000  thrpt   10       435.264 ±     0.580  ops/s
Expm1Benchmark.math                 1000000  thrpt   10        43.110 ±     0.064  ops/s
Expm1Benchmark.math                10000000  thrpt   10         4.309 ±     0.013  ops/s
Expm1Benchmark.viktor                   100  thrpt   10   1437378.174 ±  1391.410  ops/s
Expm1Benchmark.viktor                  1000  thrpt   10    194790.173 ±   318.759  ops/s
Expm1Benchmark.viktor                 10000  thrpt   10     20289.473 ±    44.746  ops/s
Expm1Benchmark.viktor                100000  thrpt   10      2038.438 ±     6.313  ops/s
Expm1Benchmark.viktor               1000000  thrpt   10       196.343 ±     0.427  ops/s
Expm1Benchmark.viktor              10000000  thrpt   10        19.657 ±     0.043  ops/s
Log1pBenchmark.fastMath                 100  thrpt   10    156170.471 ±   287.704  ops/s
Log1pBenchmark.fastMath                1000  thrpt   10     14944.255 ±    27.391  ops/s
Log1pBenchmark.fastMath               10000  thrpt   10      1494.160 ±     4.787  ops/s
Log1pBenchmark.fastMath              100000  thrpt   10       149.560 ±     0.290  ops/s
Log1pBenchmark.fastMath             1000000  thrpt   10        14.935 ±     0.025  ops/s
Log1pBenchmark.fastMath            10000000  thrpt   10         1.493 ±     0.003  ops/s
Log1pBenchmark.math                     100  thrpt   10    284611.214 ±   372.147  ops/s
Log1pBenchmark.math                    1000  thrpt   10     28993.181 ±    47.632  ops/s
Log1pBenchmark.math                   10000  thrpt   10      2825.431 ±     8.646  ops/s
Log1pBenchmark.math                  100000  thrpt   10       284.661 ±     0.765  ops/s
