# JMH version: 1.27
# VM version: JDK 15.0.1, Java HotSpot(TM) 64-Bit Server VM, 15.0.1+9-18
# VM invoker: /home/user/Downloads/jdk-15.0.1/bin/java
# VM options: <none>
# JMH blackhole mode: full blackhole + dont-inline hint
Benchmark                       (arraySize)   Mode  Cnt         Score       Error  Units
AdditionBenchmark.kmath                 100  thrpt   10  12996518.249 ± 37755.452  ops/s
AdditionBenchmark.kmath                1000  thrpt   10   1747543.757 ±  3739.933  ops/s
AdditionBenchmark.kmath               10000  thrpt   10    146839.794 ±   893.616  ops/s
AdditionBenchmark.kmath              100000  thrpt   10     13419.102 ±    68.614  ops/s
AdditionBenchmark.kmath             1000000  thrpt   10       355.438 ±    30.036  ops/s
AdditionBenchmark.kmath            10000000  thrpt   10        48.760 ±    16.823  ops/s
AdditionBenchmark.loop                  100  thrpt   10  14416461.981 ± 43463.382  ops/s
AdditionBenchmark.loop                 1000  thrpt   10   1854414.464 ±  9775.638  ops/s
AdditionBenchmark.loop                10000  thrpt   10    148586.354 ±   359.584  ops/s
AdditionBenchmark.loop               100000  thrpt   10     13423.988 ±   109.804  ops/s
AdditionBenchmark.loop              1000000  thrpt   10       324.774 ±    16.999  ops/s
AdditionBenchmark.loop             10000000  thrpt   10        45.633 ±    18.635  ops/s
AdditionBenchmark.multik                100  thrpt   10   3483803.342 ±  8688.289  ops/s
AdditionBenchmark.multik               1000  thrpt   10    438098.037 ±   980.678  ops/s
AdditionBenchmark.multik              10000  thrpt   10     49183.578 ±    77.630  ops/s
AdditionBenchmark.multik             100000  thrpt   10      4904.272 ±    16.135  ops/s
AdditionBenchmark.multik            1000000  thrpt   10       282.202 ±    51.030  ops/s
AdditionBenchmark.multik           10000000  thrpt   10        42.962 ±     0.105  ops/s
AdditionBenchmark.viktor                100  thrpt   10   9601133.801 ± 18339.104  ops/s
AdditionBenchmark.viktor               1000  thrpt   10   1661654.182 ±  2201.631  ops/s
AdditionBenchmark.viktor              10000  thrpt   10    144003.282 ±   280.573  ops/s
AdditionBenchmark.viktor             100000  thrpt   10     13356.487 ±    32.979  ops/s
AdditionBenchmark.viktor            1000000  thrpt   10       356.642 ±    31.657  ops/s
AdditionBenchmark.viktor           10000000  thrpt   10        44.607 ±    17.835  ops/s
DotBenchmark.loop                       100  thrpt   10  12558838.704 ± 12245.586  ops/s
DotBenchmark.loop                      1000  thrpt   10    917337.617 ±  1449.475  ops/s
DotBenchmark.loop                     10000  thrpt   10     89262.256 ±   117.187  ops/s
DotBenchmark.loop                    100000  thrpt   10      8908.979 ±    13.575  ops/s
DotBenchmark.loop                   1000000  thrpt   10       850.037 ±     1.035  ops/s
DotBenchmark.loop                  10000000  thrpt   10        81.881 ±     0.323  ops/s
DotBenchmark.multik                     100  thrpt   10   1697528.414 ±  2992.142  ops/s
DotBenchmark.multik                    1000  thrpt   10    200782.261 ±   422.533  ops/s
DotBenchmark.multik                   10000  thrpt   10     18758.352 ±    34.939  ops/s
DotBenchmark.multik                  100000  thrpt   10      1875.993 ±     1.792  ops/s
