# JMH version: 1.27
# VM version: JDK 1.8.0_201, Java HotSpot(TM) 64-Bit Server VM, 25.201-b09
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# JMH blackhole mode: full blackhole + dont-inline hint
Benchmark                       (arraySize)   Mode  Cnt         Score       Error  Units
AdditionBenchmark.kmath                 100  thrpt   10  12670463.058 ± 18740.556  ops/s
AdditionBenchmark.kmath                1000  thrpt   10     78807.822 ±   208.386  ops/s
AdditionBenchmark.kmath               10000  thrpt   10      7954.496 ±    14.201  ops/s
AdditionBenchmark.kmath              100000  thrpt   10       790.554 ±    21.047  ops/s
AdditionBenchmark.kmath             1000000  thrpt   10        73.984 ±     0.084  ops/s
AdditionBenchmark.kmath            10000000  thrpt   10        29.023 ±    39.288  ops/s
AdditionBenchmark.loop                  100  thrpt   10  14554319.661 ± 49263.944  ops/s
AdditionBenchmark.loop                 1000  thrpt   10   1888407.067 ±  7748.939  ops/s
AdditionBenchmark.loop                10000  thrpt   10    150917.331 ±   434.190  ops/s
AdditionBenchmark.loop               100000  thrpt   10     13579.837 ±    73.264  ops/s
AdditionBenchmark.loop              1000000  thrpt   10       667.896 ±     2.425  ops/s
AdditionBenchmark.loop             10000000  thrpt   10        59.059 ±     0.151  ops/s
AdditionBenchmark.multik                100  thrpt   10   8840494.347 ± 12801.167  ops/s
AdditionBenchmark.multik               1000  thrpt   10    928994.460 ±  1878.713  ops/s
AdditionBenchmark.multik              10000  thrpt   10     52034.771 ±   272.491  ops/s
AdditionBenchmark.multik             100000  thrpt   10      5188.253 ±    14.295  ops/s
AdditionBenchmark.multik            1000000  thrpt   10       444.008 ±     1.102  ops/s
AdditionBenchmark.multik           10000000  thrpt   10        38.701 ±     0.160  ops/s
AdditionBenchmark.viktor                100  thrpt   10  10692305.617 ± 18782.505  ops/s
AdditionBenchmark.viktor               1000  thrpt   10   1682861.106 ±  3765.106  ops/s
AdditionBenchmark.viktor              10000  thrpt   10    147156.050 ±   521.316  ops/s
AdditionBenchmark.viktor             100000  thrpt   10     13431.513 ±    39.935  ops/s
AdditionBenchmark.viktor            1000000  thrpt   10       664.417 ±     1.444  ops/s
AdditionBenchmark.viktor           10000000  thrpt   10        59.015 ±     0.222  ops/s
DotBenchmark.loop                       100  thrpt   10  11073254.444 ± 19493.030  ops/s
DotBenchmark.loop                      1000  thrpt   10    905005.181 ±  4388.269  ops/s
DotBenchmark.loop                     10000  thrpt   10     89016.634 ±   112.162  ops/s
DotBenchmark.loop                    100000  thrpt   10      8886.207 ±    12.450  ops/s
DotBenchmark.loop                   1000000  thrpt   10       776.074 ±     1.062  ops/s
DotBenchmark.loop                  10000000  thrpt   10        71.840 ±     0.055  ops/s
DotBenchmark.multik                     100  thrpt   10   1263213.527 ±  2137.629  ops/s
DotBenchmark.multik                    1000  thrpt   10    138421.143 ±   266.482  ops/s
DotBenchmark.multik                   10000  thrpt   10     13844.406 ±    19.725  ops/s
DotBenchmark.multik                  100000  thrpt   10      1442.926 ±     3.768  ops/s
DotBenchmark.multik                 1000000  thrpt   10       139.467 ±     0.225  ops/s
DotBenchmark.multik                10000000  thrpt   10        13.885 ±     0.043  ops/s
DotBenchmark.viktor                     100  thrpt   10  10617640.711 ± 17674.814  ops/s
DotBenchmark.viktor                    1000  thrpt   10   2551055.441 ±  3075.382  ops/s
DotBenchmark.viktor                   10000  thrpt   10    280983.087 ±   302.064  ops/s
DotBenchmark.viktor                  100000  thrpt   10     25484.371 ±   373.282  ops/s
DotBenchmark.viktor                 1000000  thrpt   10      1221.622 ±     4.725  ops/s
DotBenchmark.viktor                10000000  thrpt   10       112.492 ±     1.414  ops/s
ExpBenchmark.fastMath                   100  thrpt   10    967444.549 ±  2001.735  ops/s
ExpBenchmark.fastMath                  1000  thrpt   10     98119.388 ±   158.579  ops/s
ExpBenchmark.fastMath                 10000  thrpt   10      9883.994 ±    16.952  ops/s
ExpBenchmark.fastMath                100000  thrpt   10       994.000 ±     9.671  ops/s
ExpBenchmark.fastMath               1000000  thrpt   10        98.765 ±     0.316  ops/s
ExpBenchmark.fastMath              10000000  thrpt   10         8.270 ±     1.172  ops/s
ExpBenchmark.kmath                      100  thrpt   10    204863.723 ±   375.061  ops/s
ExpBenchmark.kmath                     1000  thrpt   10     20615.909 ±    74.716  ops/s
ExpBenchmark.kmath                    10000  thrpt   10      2042.289 ±     4.884  ops/s
ExpBenchmark.kmath                   100000  thrpt   10       203.992 ±     0.280  ops/s
ExpBenchmark.kmath                  1000000  thrpt   10        20.354 ±     0.041  ops/s
ExpBenchmark.kmath                 10000000  thrpt   10         2.041 ±     0.006  ops/s
ExpBenchmark.math                       100  thrpt   10    205410.766 ±   298.057  ops/s
ExpBenchmark.math                      1000  thrpt   10     20656.303 ±    30.675  ops/s
ExpBenchmark.math                     10000  thrpt   10      2040.249 ±     6.596  ops/s
ExpBenchmark.math                    100000  thrpt   10       203.881 ±     0.227  ops/s
ExpBenchmark.math                   1000000  thrpt   10        20.349 ±     0.034  ops/s
ExpBenchmark.math                  10000000  thrpt   10         2.043 ±     0.004  ops/s
ExpBenchmark.multik                     100  thrpt   10    890574.174 ±  2721.330  ops/s
ExpBenchmark.multik                    1000  thrpt   10    100761.812 ±   167.259  ops/s
ExpBenchmark.multik                   10000  thrpt   10     10388.772 ±    22.565  ops/s
ExpBenchmark.multik                  100000  thrpt   10      1048.503 ±     3.069  ops/s
ExpBenchmark.multik                 1000000  thrpt   10       104.228 ±     0.602  ops/s
ExpBenchmark.multik                10000000  thrpt   10        10.043 ±     0.606  ops/s
ExpBenchmark.viktor                     100  thrpt   10   2291897.826 ±  3486.126  ops/s
ExpBenchmark.viktor                    1000  thrpt   10    312441.701 ±   513.642  ops/s
ExpBenchmark.viktor                   10000  thrpt   10     32806.822 ±    43.570  ops/s
ExpBenchmark.viktor                  100000  thrpt   10      3291.716 ±     8.319  ops/s
ExpBenchmark.viktor                 1000000  thrpt   10       315.277 ±     1.110  ops/s
ExpBenchmark.viktor                10000000  thrpt   10        29.154 ±     0.128  ops/s
Expm1Benchmark.fastMath                 100  thrpt   10    428470.172 ±   597.692  ops/s
Expm1Benchmark.fastMath                1000  thrpt   10     42673.774 ±   207.804  ops/s
Expm1Benchmark.fastMath               10000  thrpt   10      4273.304 ±    11.602  ops/s
Expm1Benchmark.fastMath              100000  thrpt   10       437.678 ±     0.613  ops/s
Expm1Benchmark.fastMath             1000000  thrpt   10        43.529 ±     0.104  ops/s
Expm1Benchmark.fastMath            10000000  thrpt   10         4.061 ±     0.331  ops/s
Expm1Benchmark.math                     100  thrpt   10    302593.785 ±   509.383  ops/s
Expm1Benchmark.math                    1000  thrpt   10     29517.313 ±    38.575  ops/s
Expm1Benchmark.math                   10000  thrpt   10      2907.581 ±     3.815  ops/s
Expm1Benchmark.math                  100000  thrpt   10       298.144 ±     0.385  ops/s
Expm1Benchmark.math                 1000000  thrpt   10        30.002 ±     0.056  ops/s
Expm1Benchmark.math                10000000  thrpt   10         2.938 ±     0.155  ops/s
Expm1Benchmark.viktor                   100  thrpt   10   1532404.741 ±  2794.757  ops/s
Expm1Benchmark.viktor                  1000  thrpt   10    192852.507 ±   298.070  ops/s
Expm1Benchmark.viktor                 10000  thrpt   10     20036.135 ±    35.086  ops/s
Expm1Benchmark.viktor                100000  thrpt   10      2011.915 ±     4.140  ops/s
Expm1Benchmark.viktor               1000000  thrpt   10       195.805 ±     0.386  ops/s
Expm1Benchmark.viktor              10000000  thrpt   10        18.738 ±     0.061  ops/s
Log1pBenchmark.fastMath                 100  thrpt   10    142564.502 ±   415.996  ops/s
Log1pBenchmark.fastMath                1000  thrpt   10     14587.716 ±    26.844  ops/s
Log1pBenchmark.fastMath               10000  thrpt   10      1457.931 ±     4.289  ops/s
Log1pBenchmark.fastMath              100000  thrpt   10       145.571 ±     0.277  ops/s
Log1pBenchmark.fastMath             1000000  thrpt   10        14.675 ±     0.105  ops/s
Log1pBenchmark.fastMath            10000000  thrpt   10         1.479 ±     0.004  ops/s
Log1pBenchmark.math                     100  thrpt   10    246415.156 ±   554.432  ops/s
Log1pBenchmark.math                    1000  thrpt   10     25011.797 ±    97.395  ops/s
Log1pBenchmark.math                   10000  thrpt   10      2451.555 ±     4.670  ops/s
Log1pBenchmark.math                  100000  thrpt   10       247.865 ±     0.730  ops/s
Log1pBenchmark.math                 1000000  thrpt   10        24.942 ±     0.036  ops/s
Log1pBenchmark.math                10000000  thrpt   10         2.474 ±     0.087  ops/s
Log1pBenchmark.viktor                   100  thrpt   10   1941956.445 ±  3871.764  ops/s
Log1pBenchmark.viktor                  1000  thrpt   10    235839.742 ±   393.420  ops/s
